refseq_peptide	description	rgd_id	uniprot_gn_id
NP_001101453	zinc finger MYM-type containing 1	1307027	A0A8I6A535, G3V9X1
NP_001101454	PDLIM1 interacting kinase 1 like	1307476	D3ZKW5
NP_001101455	exostosin-like glycosyltransferase 1	1309572	D3ZLU1
NP_001101456	serine and arginine repetitive matrix 1	1311258	A0A0G2K4F6, A0A8I5ZV38, A0A8I6A8I2, A0A8I6ATQ3, F7FND9
NP_001101457	myomesin 3	1310060	D4A228
NP_001101458	von Willebrand factor A domain containing 5B1	1308559	A0A8I6ADZ4, D3ZP60
NP_001101459	microfibril associated protein 2	1306031	D3Z952
NP_001101460	ciliary rootlet coiled-coil, rootletin	1305364	A0A8I5ZM97, A0A8I5ZN13, D4AD05, F1M6Q2
NP_001101461	leucine rich repeat containing 38	1311416	D3ZYA6
NP_001101462	dispatched RND transporter family member 3	1305820	D3ZW02
NP_001101463	UbiA prenyltransferase domain containing 1	1309588	D3ZG27
NP_001101464	splA/ryanodine receptor domain and SOCS box containing 1	1309319	B0BMX8
NP_001101465	PHD finger protein 13	1308145	A0A8I5ZN36, D3ZG56
NP_001101466	kelch-like family member 21	1305863	D4A2K4
NP_001101467	membrane metallo-endopeptidase-like 1	1309299	A0A0H2UHK7, A0A8L2QVP5
NP_001101468	solute carrier family 35, member E2B	1309076	D4A0R5
NP_001101469	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	1310711	A0A0G2K5N8, A0A8I6A5L6, A0A8I6GJX2, D4A346
NP_001101470	C1q and TNF related 12	1307059	D3ZQD2
NP_001101471	PPARGC1 and ESRR induced regulator, muscle 1	1304931	D3ZH76
NP_001101472	ferredoxin 2	1561264	A0A8I5Y8B5, D4A8N2
NP_001101473	ring finger protein 19B	1305470	A0A0G2K6H9, D4A995
NP_001101474	DnaJ heat shock protein family (Hsp40) member B5	1307453	A0A0G2K9H9, D3ZB76
NP_001101475	microtubule associated serine/threonine kinase 2	1304573	A0A0G2K212, A0A8I5ZMP0, A0A8I5ZUU6, A0A8I6A3C2, A0A8I6ATY6, D3ZAR2
NP_001101476	vacuolar protein sorting 13 homolog D	1308403	A0A0G2JYD4, A0A8I6G572, A0A8I6GHP9, D3ZKC6
NP_001101477	protein kinase domain containing, cytoplasmic	1311939	A0A8I5ZP57, F1LMM4
NP_001101478	EMAP like 4	1304690	A0A0G2K2Z0, A0A8I5Y0M9, A0A8I6A8G5, A0A8I6ALM1, F1LT71
NP_001101479	RAS guanyl releasing protein 3	1304612	A0A0G2KAU4, D3ZZN2
NP_001101480	SPT7 like, STAGA complex subunit gamma	1562206	B5DF66
NP_001101482	nuclear receptor coactivator 1	1309046	A0A0G2JZG4, A0A8I6APA0, A0A8I6GLM3, D4A3Q3
NP_001101483	matrilin 3	1305085	A0A0G2JYF9
NP_001101484	structural maintenance of chromosomes 6	1311214	A0A0G2JXU6, A0A8I5ZKI2, D4AB26
NP_001101485	tribbles pseudokinase 2	1564451	A0A8J8XB91
NP_001101486	membrane bound O-acyltransferase domain containing 2	1305798	A0A8I6A8B3, A0A8I6ATL5, Q3T1J2
NP_001101487	cytidine/uridine monophosphate kinase 2	1305881	D3ZC63
NP_001101488	Cbl proto-oncogene like 1	1310703	A0A8I6A0P9, A0A8I6AJZ8, D3ZS02
NP_001101489	ankyrin repeat and MYND domain containing 2	1306017	A0A0G2K8N6, D3ZC34
NP_001101490	patatin-like phospholipase domain containing 8	1311444	A0A0G2K621, A0A1W2Q6C9, D3ZRC4
NP_001101491	kelch-like family member 15	1563101	A0A096MJE5, D3ZA50
NP_001101492	similar to RIKEN cDNA 2700097O09	1304624	D4A3D3
NP_001101493	F-box protein 33	1307543	A0A8I6ADZ5, D3ZVL5
NP_001101494	leucine rich repeat and fibronectin type III domain containing 5	1309357	D4A1J9
NP_001101495	hypothetical LOC314168	1307621	A0A8I5ZS88, A0A8I6AS79, D4A3H4
NP_001101496	pre-mRNA processing factor 39	1308702	A0A8I5YBM8, D4A5S9
NP_001101497	kelch domain containing 1	1308211	A0A0G2KAE3, A0A8I6GDD5, B0K005
NP_001101498	L-2-hydroxyglutarate dehydrogenase	1306250	A0A8I6A287, D3ZVS2
NP_001101499	AT-rich interaction domain 4A	1307442	A0A0G2K094, A0A8I6APL4, A0A8I6AQP2, D4ADE4
NP_001101500	dishevelled associated activator of morphogenesis 1	1305119	A0A8I5Y0A6, A0A8I6GM04, D4ABM3
NP_001101501	trans-L-3-hydroxyproline dehydratase	1305721	D3ZV91
NP_001101502	SIX homeobox 6	1310497	D3ZCC7
NP_001101503	small nuclear RNA activating complex, polypeptide 1	1304671	F7ES94
NP_001101504	protein associated with LIN7 1, MAGUK p55 family member	1308071	B4F7E7
NP_001101507	retinol dehydrogenase 12	1310462	D3ZEP9
NP_001101508	zinc finger FYVE-type containing 26	1307820	A0A0G2K770, A0A8I5ZLS5
NP_001101510	ribosomal oxygenase 1	1307704	D3ZU57
NP_001101511	acyl-CoA thioesterase 3	15003675	A0A8I6A6H9
NP_001101512	zinc finger protein 410	1305636	A0A8I5ZRB9, A0A8I6A1H7, A0A8I6GCR3, B4F792
NP_001101513	mutL homolog 3	1309227	A0A8I6APJ9, D4ADG4
NP_001101514	CLOCK-interacting pacemaker	1309492	A0A8I5ZWM8, A0A8I6A3A2, A0A8I6A767, A0A8I6B4P9, D4A489
NP_001101515	transmembrane protein 63c	1310207	A0A8I5ZNW8, A0A8L2QZP2, D3ZNF5
NP_001101516	DEAD-box helicase 41	1311758	A0A8I6AB28, A0A8I6GGV4, B2RYL8
NP_001101517	forkhead box N3	1305711	A0A0G2JYT8, D3ZIJ7
NP_001101518	ribosomal protein S6 kinase A5	1308336	A0A0G2K366, A0A8I6A7D1, A0A8I6ABQ6, D3ZY17
NP_001101519	G protein-coupled receptor 68	1309559	D3ZSW1
NP_001101520	protein phosphatase 4, regulatory subunit 3A	1309059	A0A8I6ARL9, A0A8I6AS21, A0A8I6GJF4, D4ABC4
NP_001101521	solute carrier family 24 member 4	1305926	A0A0G2K0U1, A0A0G2K3S9, D3ZCC3
NP_001101522	Ras and Rab interactor 3	1305849	A0A0G2K0G9, A0A8I5ZUY1, A0A8I6GJV5, D3ZFZ0
NP_001101523	OTU deubiquitinase, ubiquitin aldehyde binding 2	1306688	A0A8I6G7I8, D3ZAR8
NP_001101524	serpin family A member 1F	1307899	D4A4R7
NP_001101525	adenylate kinase 7	1309600	A0A0G2JZ71, A0A0G2K524
NP_001101526	poly (A) polymerase alpha	1308673	A0A0G2K0C9, A0A0G2K821, A0A8I6A5A1, A0A8I6A6U9, A0A8I6APN2, A0A8I6G740, A0A8I6G751, D3ZK96
NP_001101528	sperm acrosome associated 5	1584964	M0RCC1
NP_001101529	ETS transcription factor ELK1	1598663	A0A8I6A3K1, A4GTP4
NP_001101531	amnion associated transmembrane protein	1308634	D3ZFK9
NP_001101532	protein phosphatase 1, regulatory subunit 13B	1304651	A0A0G2KB61, A0A8I6A8S6, D4A6A8
NP_001101533	zinc finger protein 763	1306264	F1LUK0
NP_001101535	SHC adaptor protein 2	1307137	O70142
NP_001101536	AT-rich interaction domain 3A	1305299	A0A1W2Q6P0, B5DEX9
NP_001101537	Rho GTPase activating protein 45	1308662	A0A8I5Y5N9, A0A8I5ZKS6, D4AAI2
NP_001101538	strawberry notch homolog 2	1307194	A0A0G2JZZ8, A0A8I6A186, D3ZDU8
NP_001101540	CACN subunit beta associated regulatory protein	1307185	F1MAS1
NP_001101541	ADAMTS-like 5	1305607	A0A8I6GJQ1, F1M9K2
NP_001101543	tight junction protein 3	1309247	A0A0G2K8M3, D3Z8G7
NP_001101544	fizzy and cell division cycle 20 related 1	1308713	A0A8I5ZWS1, B1WCA1
NP_001101545	sphingosine-1-phosphate receptor 4	1304801	D4AEH8
NP_001101546	myosin IF	1309750	A0A8I6AWI1, A0A8I6B3G2, D4A7X9
NP_001101547	actin-like 9	1306886	B3DMA6
NP_001101549	carbohydrate sulfotransferase 11	1308400	A0A8L2Q5L8
NP_001101550	Spi-C transcription factor	1306272	A0A8I6A5W3, D4A5A4
NP_001101551	actin related protein 6	1304609	A0A8I6AE58, F7F615
NP_001101552	cyclin-dependent kinase 17	1565593	A0A8I5Y814, G3V6J5, O35831
NP_001101554	transmembrane and coiled-coil domain family 3	1307241	A0A0G2K8Y7, A0A8I5Y957, A0A8I5ZJH3, A0A8I5ZPM9, A0A8I5ZT53, D3ZLE2
NP_001101555	CASP2 and RIPK1 domain containing adaptor with death domain	1311010	A0A8I6AGR2, D3ZB14
NP_001101557	keratocan	1305816	D3ZVD7
NP_001101558	epiphycan	1305904	G3V6L6
NP_001101559	methyltransferase like 25	1310270	A0A8I5Y618, A0A8I5ZNA4, A0A8I6GC39, F6QFT3
NP_001101560	coiled-coil domain containing 59	1311912	D4ADF2
NP_001101561	acyl-CoA synthetase short-chain family member 3	1307051	A0A0G2K047, D3ZGU2
NP_001101562	E2F transcription factor 7	1310258	A0A0A0MY02, A0A8I6GH03, D4A4D7
NP_001101564	KRR1, small subunit processome component homolog	1306183	A0A8I6ALQ2, A1A5R3
NP_001101566	leucine-rich repeat-containing 10	1307358	D4AAU8
NP_001101567	fibroblast growth factor receptor substrate 2	1308201	A0A8I6A9E6, D4A244
NP_001101568	carboxypeptidase M	1310532	D4A9Q5
NP_001101569	MDM2 proto-oncogene	1305332	A0A0G2JVC1, A0A8I6G5V3, A0A8I6GK47, D3ZVH5
NP_001101571	interleukin-1 receptor-associated kinase 3	1308846	B2RYC8
NP_001101572	exportin for tRNA	1305562	A0A8I5ZT11, A0A8I6AHQ9, D3ZZ62
NP_001101573	bromodomain containing 1	1311855	D3ZUW8
NP_001101574	ALG12, alpha-1,6-mannosyltransferase	1304826	A0A8I5ZU43, B1WBY3
NP_001101575	modulator of VRAC current 1	1308552	D4ABB2
NP_001101576	plexin B2	1305495	A0A0G2K2Y9, D3ZQ57
NP_001101577	PDZ domain containing RING finger 4	1308860	D3ZNV5
NP_001101578	anoctamin 6	1304765	A0A0G2K1M7, A0A8I5Y1S2, A0A8I5ZRU7, A0A8I5ZT68, A0A8I6AA94, A0A8I6AHD2, A0A8I6ASC3, A0A8I6G530, F1M5Z5
NP_001101579	ankyrin repeat and SOCS box-containing 8	1309246	A0A0G2JWD3, B5DF17
NP_001101580	cyclin T1	1311151	A0A0G2JXM2, A0A8I6G622, D3ZC98
NP_001101581	Wnt family member 10B	1304988	A0A0G2K6Q8, A0A8I6AK95
NP_001101582	Rac GTPase-activating protein 1	1305912	A0A8I5ZS98, B2GV02
NP_001101583	cysteine and serine rich nuclear protein 2	1308916	D4A1W4
NP_001101584	tensin 2	1310917	A0A8I6AEG8, A0A8I6AKK0, A0A8I6AQ81, F7FBH3, M0R671
NP_001101585	activating transcription factor 7	1304940	A0A8I5Y7N1, A0A8I5ZZM2, G3V7X9
NP_001101586	homeo box C5	1307584	D3ZP88
NP_001101587	COPI coat complex subunit zeta 1	1306154	A0A8I5ZKX4, A0A8I6A7F9, A0A8I6AMR7, A0A8I6GES6, A0A8I6GK73, D4A8T3
NP_001101588	integrin subunit alpha 5	2925	A0A0G2K1E2, A0A8I5YCC9, A0A8I6A7G7
NP_001101589	NCK associated protein 1 like	1312032	A0A0G2JUF9, A0A8I6AH32, D3Z8V4
NP_001101590	nuclear transport factor 2-like export factor 2	1560204	A0A140TAD4, A0A8I5ZTZ1
NP_001101591	kelch repeat and BTB domain containing 3	1310895	D4A7F5
NP_001101592	JRK-like	1308986	M0R5M5
NP_001101593	myotubularin related protein 2	1311865	A0A8I5ZQN1, A0A8I5ZTB8, A0A8I6ABE9, D3ZA31
NP_001101594	centrosomal protein 57	1309884	A0A8I6A259, A0A8I6GA59, B4F7A7
NP_001101595	sestrin 3	1309470	A0A8I6A0N4, A0A8I6GM41, D4A469
NP_001101597	solute carrier family 36 member 4	1311528	D3ZMH7
NP_001101598	cysteine and histidine rich domain containing 1	1304679	A0A8I5ZS55, A0A8L2QG05
NP_001101601	sorting nexin 19	1309857	A0A8I6ABN1, A0A8I6ACJ7, D3ZXB9
NP_001101602	T-box transcription factor 20	1309396	A0A0G2KAH3, D3ZUF4
NP_001101603	nuclear factor related to kappa B binding protein	1310558	D4A421
NP_001101604	pseudouridine synthase 3	1310757	B0BN58
NP_001101605	roundabout guidance receptor 3	1311018	A0A8I6AJI9, D3ZKA2
NP_001101606	TLC domain containing 5	1565079	D3ZNW9
NP_001101607	membrane frizzled-related protein	1307477	D3ZU82
NP_001101608	VPS11 core subunit of CORVET and HOPS complexes	1308038	D3ZTB4
NP_001101610	CD3 epsilon subunit of T-cell receptor complex	1309222	A0A0G2K986, A0A8I6AAG4, D4A5M2
NP_001101611	DS cell adhesion molecule-like 1	1304887	A0A8I6A722, D3ZPL7
NP_001101612	SID1 transmembrane family, member 2	1308311	A0A0A0MP80, A0A8I6ADA5, A0A8L2QIN5
NP_001101613	RNA binding motif protein 7	1308017	A0A8I5XVE7, A0A8I6ACC7, B2RZ14
NP_001101614	ubiquitin specific peptidase 28	1311555	A0A140TAA0, A0A8I5ZWX4, A0A8I6A8Q3, A0A8I6AFT3, D3ZJ96
NP_001101615	ferredoxin-fold anticodon binding domain containing 1	1562252	A0A8I6A0N8, D3ZEA2
NP_001101616	zinc finger CCCH type containing 12C	1565078	A0A0G2K000, A0A8I5XWR9, A0A8I5ZQ72, D3ZSI6
NP_001101617	nuclear protein, co-activator of histone transcription	1311947	A0A0G2K6Y8, A0A8I6A9M9, D4A6Y1
NP_001101618	RAB39A, member RAS oncogene family	1311286	D3ZZP2
NP_001101619	pseudopodium-enriched atypical kinase 1	1312026	A0A8I6AA85, D4A563
NP_001101620	high mobility group 20A	1564760	A0A8I6AMK9, A0A8I6ATE6, D3Z937
NP_001101621	outer dense fiber of sperm tails 3-like 1	1304976	A0A8I6AQG6, D4A5D6
NP_001101623	semaphorin 7A (John Milton Hagen blood group)	1305192	D3ZQP6
NP_001101624	La ribonucleoprotein 6, translational regulator	1308414	D3ZCR5
NP_001101625	kinesin family member 23	1308596	A0A0G2K7Y7, A0A8I5ZRP3, A0A8I5ZWA3, A0A8I6GJ20, D4AAG4
NP_001101626	integrin subunit alpha 11	1311711	F1LUU1
NP_001101627	fem-1 homolog B	1304569	P0C6P7
NP_001101629	dipeptidylpeptidase 8	1310901	A0A8I6A305, D3ZHQ1
NP_001101631	cartilage intermediate layer protein	1305124	D3ZGB8
NP_001101632	RAS-like, family 12	1306268	A0A8I6A437, D3ZLK2
NP_001101633	family with sequence similarity 81, member A	1311958	D4A7T8
NP_001101634	cingulin-like 1	1304623	A0A8I5ZPI5, A0A8I6AMD9, D4A3V5
NP_001101635	zinc finger protein 280D	1560796	A0A0G2JU78, A0A8I6ACS8, F1M0V0
NP_001101636	phosphatidylinositol glycan anchor biosynthesis, class B	1307251	D3ZYY8
NP_001101637	myosin VC	1309994	F1M111
NP_001101638	bone morphogenetic protein 5	1305979	D4A7P9
NP_001101639	family with sequence similarity 83, member B	1311988	D3ZF70
NP_001101640	kelch-like family member 31	1560540	D3ZLT6
NP_001101642	Ttk protein kinase	1305558	A0A0G2K2S5, A0A8I5ZNI6, D4A4S7
NP_001101643	T-box transcription factor 18	1309856	D4A1V6
NP_001101644	sorting nexin 14	1310921	A0A0G2JUV6, A0A8I5YBU7, A0A8I5ZYS8, A0A8I6AHH1, A0A8I6AQL5, A0A8I6AT69, A0A8I6GJA7, D3ZLX0
NP_001101645	TBC1 domain family, member 2B	1307436	A0A8I5Y6N8, A0A8I6ALB6, D3ZAF7
NP_001101646	Zic family member 4	1307298	A0A8I6ATI6, D3ZMJ5, D4A6Z4
NP_001101648	plastin 1	1307142	A0A0G2QC04
NP_001101649	stromal antigen 1	1310744	A0A0G2K9G6, A0A8I5Y920, A0A8I6ADB5, A0A8I6AQI4, A0A8I6G238, D4A3Q2
NP_001101650	kyphoscoliosis peptidase	1305407	D3Z953
NP_001101651	acyl-CoA dehydrogenase family, member 11	1306270	A0A8I5ZR07, A0A8I6AMR1, A0A8L2R5W9, B3DMA2
NP_001101652	NIMA-related kinase 11	1308801	A0A8I6AI15, D4A3H8
NP_001101654	dedicator of cyto-kinesis 3	1306677	A0A8I5ZM58, A0A8I5ZZP1, A0A8I6GLI7, F1M4N6
NP_001101655	semaphorin 3F	1308514	A0A0G2K0S6, D3ZGX9
NP_001101656	RNA binding motif protein 6	1560367	A0A8I6A326, D4ACW0
NP_001101657	inka box actin regulator 1	1560778	D4AA62
NP_001101658	plexin B1	1310564	D3ZDX5
NP_001101659	SET domain containing 2, histone lysine methyltransferase	1305576	A0A0G2KB10, A0A8I5ZLS2, A0A8I6A5I9, A0A8I6A709, A0A8I6AUV5, D4A5H6
NP_001101660	receptor (chemosensory) transporter protein 3	1310546	D4A1N0
NP_001101661	C-C motif chemokine receptor like 2	1311811	A0A8I5ZTQ6, D3ZVM9
NP_001101662	galactosidase, beta 1	1597145	A0A8I5ZR79, A0A8I6G4Z3, D3ZUM4
NP_001101663	solute carrier family 22, member 14	15004581	E9PU08
NP_001101664	oxidative stress responsive kinase 1	1310466	A0A8I5ZNK2, A0A8I5ZZD5, D3ZUC9
NP_001101665	kelch-like family member 40	1305368	D4AA43
NP_001101667	TATA-box binding protein associated factor 8	1308423	A0A8I5ZZ64, A0A8I6AWS9, A0A8I6B3B9, D3ZY89
NP_001101668	guanylate cyclase activator 1B	1308191	D3ZID7
NP_001101669	transcriptional regulating factor 1	1307167	A0A0G2K2H9, A0A8I6AN45, D3ZYN9
NP_001101670	tubulin folding cofactor C	1306756	B2GUZ7
NP_001101671	ATP binding cassette subfamily C member 10	1306696	A0A8I5ZL94, D3ZX04
NP_001101672	delta like non-canonical Notch ligand 2	1309143	A0A8I6AJ13, A0A8I6AT37, D3ZUK3
NP_001101673	tight junction associated protein 1	1308708	A0A0G2K0W5, A0A8I5Y0B5, A0A8I6GDP5, D3ZU31
NP_001101674	DNA polymerase eta	1309893	A0A8I6GBC6, D4ADZ0
NP_001101675	radial spoke head component 9	1310693	A0A0G2KAI9, D4A5Y7
NP_001101676	t-complex-associated testis expressed 1	1305744	A0A8I6ART2
NP_001101677	TNF receptor superfamily member 21	1307308	D3ZF92
NP_001101678	dystonin	1306566	A0A8I5Y1K0, A0A8I5ZQD4, A0A8I5ZUE5, A0A8I5ZUJ3, A0A8I6A816, A0A8I6ABJ6, A0A8I6AN06, A0A8I6B4H4, D3ZC56
NP_001101679	protease, serine, 40	1561330	D3ZR46
NP_001101680	heparan sulfate 6-O-sulfotransferase 1	1309218	A0A8I5Y4T0, D4A6E6
NP_001101681	ankyrin repeat domain 23	1310398	A0A8I6B0D0, A0A8I6GH25, D3ZVB9
NP_001101682	lipoyltransferase 1	1310276	A0A8I5ZRJ8, D3Z7Z4
NP_001101684	neuronal PAS domain protein 2	1309681	F1MAG2
NP_001101685	major facilitator superfamily domain containing 9	1562212	D3ZTY6
NP_001101686	NCK adaptor protein 2	1305965	D4A3M8
NP_001101688	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	1593244	D4ADD3
NP_001101689	similar to CG31122-PA	1306941	G3V7A7
NP_001101690	transmembrane protein 237	1306705	A0A0G2K7G5, A0A8I6G323, D3ZAP8
NP_001101691	malate dehydrogenase 1B	1307874	A0A0G2JVU8, A0A8I5XW88, D3Z861
NP_001101692	Swi/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	1306134	A0A8L2QV60, B4F769
NP_001101693	src homology 2 domain-containing transforming protein D	1590885	B0BN15, M0R864
NP_001101694	villin 1	1307048	B5DFA0
NP_001101695	zinc finger protein 142	1309648	A0A0G2JVD5, D3ZU19
NP_001101696	Wnt family member 6	1304559	D4A3W9
NP_001101697	Wnt family member 10A	1307015	D3ZRW5
NP_001101698	solute carrier family 19 member 3	1311413	A0A0G2K171
NP_001101699	solute carrier family 16, member 14	1309675	D4A0E5
NP_001101700	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	1309244	A0A0G2K847, A0A8I6A118, A0A8I6AWZ3, A0A8I6GDZ1, G3V9U1
NP_001101701	ankyrin repeat and SOCS box-containing 18	1310850	A0A8I6A7E9, A0A8I6AGK3, D3ZU92
NP_001101702	ankyrin repeat and SOCS box-containing 1	1310760	A0A8I5ZYZ6, A0A8I6AUV4, F7F1S8
NP_001101703	FERM, ARH/RhoGEF and pleckstrin domain protein 2	1308003	A0A8I6GJU1, D3ZFK8
NP_001101704	neuraminidase 4	1308624	D3ZWB7
NP_001101705	F-box and leucine-rich repeat protein 17	1309773	D3ZVD0
NP_001101706	lipin 2	1304588	A0A0G2JY62, A0A8I5ZKH7, A0A8I6AH46, D3ZYB4
NP_001101707	laminin subunit alpha 1	1307207	A0A8I6AUU0, D4A409
NP_001101708	ankyrin repeat domain 12	1310118	A0A8I5ZN78, D3ZCH1
NP_001101709	general transcription factor IIIC subunit 3	1309185	A0A0G2K945, A0A8I5ZPB3, D4A7Q9
NP_001101710	CLPTM1-like	1307896	A0A8I6AWZ9, D4A416
NP_001101711	motile sperm domain containing 4	1304785	D4A092
NP_001101713	sushi-repeat-containing protein, X-linked 2	1562444	B5DF94
NP_001101714	kelch-like family member 4	1565441	D3ZHI3
NP_001101715	integrin subunit beta 1 binding protein 2	1565015	A0A8I6A523, D3ZW59
NP_001101717	WD repeat domain 13	1560982	G3V6Q3
NP_001101719	translocase of inner mitochondrial membrane 17b	1561744	A0A8J8XD91, D4ACA5
NP_001101720	forkhead box P3	1562112	A0A8I6G4G9, D3ZKI1, D4Q8I2, D4Q8I3
NP_001101721	ubiquilin 2	1563566	D4AA63
NP_001101722	ubiquitin specific peptidase 51	1562211	D3ZUR6
NP_001101723	PHD finger protein 8	1561065	A0A8I6AC06, D4AD31
NP_001101724	EGF-like-domain, multiple 6	1563321	A0A0G2KB47, D3Z8B8
NP_001101725	ring finger protein 138 like 1	1565844	D3ZI70
NP_001101726	OCRL, inositol polyphosphate-5-phosphatase	1594526	A0A8L2R5U9, R9PXS2
NP_001101727	RAB33A, member RAS oncogene family	1563280	D3ZCU8
NP_001101728	G protein-coupled receptor 101	1564196	D4ABK4
NP_001101729	HIV-1 Tat specific factor 1	1563377	D4A997
NP_001101730	bromodomain adjacent to zinc finger domain, 2B	1309801	A0A0G2K175, A0A0G2K535, A0A8I6A6K9, A0A8I6GJ82
NP_001101731	centrosomal protein 20	1305823	B0BN31
NP_001101732	zinc finger CCCH type containing 7 A	1311225	D3ZP12
NP_001101733	trans-golgi network vesicle protein 23 homolog A	1566405	D4A2T2
NP_001101734	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	1310700	D4A5S6
NP_001101735	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	1308972	G3V6D1
NP_001101737	transcription factor AP-4	1308357	D3ZJT6
NP_001101738	TSR3 ribosome maturation factor	1565744	D4A6X9
NP_001101739	Rho GDP dissociation inhibitor gamma	1310739	A0A8I5ZRJ5
NP_001101740	similar to RIKEN cDNA 4930524B15	1311343	D4AAX2
NP_001101741	small integral membrane protein 23	1306625	D4A0X0
NP_001101742	pantothenate kinase 3	1310531	D3ZUQ7
NP_001101743	RasGEF domain family, member 1C	1311549	A0A8I6AL57, A0A8I6ALC8, D3ZVN9
NP_001101745	prolyl 4-hydroxylase subunit alpha 2	1309673	A0A0G2JYL4, A0A8I6ACJ4, A0A8I6ASK1, D3ZGT6
NP_001101747	target of myb1 like 2 membrane trafficking protein	1306728	A0A0G2K9L2, A0A8I5ZNE6, A0A8I5ZP70, A0A8I5ZT36, A0A8I6A1X4, A0A8I6AVU7, A0A8I6GLT5, D4A6C9
NP_001101748	spermidine/spermine N1-acetyltransferase family member 2	1307869	A0A0G2K1J8
NP_001101749	BCL6B, transcription repressor	1563179	D3ZTN3
NP_001101750	inhibitor of CDK, cyclin A1 interacting protein 1	1306656	A0A8I6GGY4, D3ZLG5
NP_001101751	nuclear cap binding subunit 3	1308139	D3ZXL5
NP_001101752	mitochondrial rRNA methyltransferase 3	1309077	D3ZQG0
NP_001101753	ribosomal protein L23A	1304897	A0A8I5ZV09, A0A8L2QIC1
NP_001101756	yippee-like 2	1311564	A0A8I6AMR6, D4AAS2
NP_001101757	proline rich 11	1561541	A0A8I6GJX6, D4ADC1
NP_001101758	tripartite motif-containing 37	1308349	A0A0G2KA84, A0A8I5ZJG0, B5DF77, D3ZL82
NP_001101759	mitochondrial ribosomal protein S23	1306963	A0A8I6AEU9, D3ZIN7
NP_001101760	sperm associated antigen 9	1311289	A0A0G2K6E8, A0A8I5Y1R0, A0A8I5ZJK4, A0A8I6A5S1, A0A8I6AXC7, A0A8I6B3N0, A0A8I6B484, E9PSJ4
NP_001101761	LUC7-like 3 pre-mRNA splicing factor	1307981	A0A8I5ZVZ0, A0A8I6AE53, A0A8I6AUY1, D3ZFB2
NP_001101762	integrin subunit alpha 3	1310333	A0A8I6GLI8, D3ZCG9, D3ZQM3, I4DUB5
NP_001101763	NFE2 like bZIP transcription factor 1	1311972	A0A8I6A8A5, A0A8I6A9I5, D4A349
NP_001101764	COPI coat complex subunit zeta 2	1306948	D4ADP9
NP_001101765	CWC25 spliceosome-associated protein homolog	1305258	A0A8I5ZK98, G3V6I3
NP_001101766	migration and invasion enhancer 1	1306682	A0A8I5ZRY0, D3ZSU7
NP_001101767	gasdermin A	1592062	D3ZA32
NP_001101768	cell division cycle 6	1309157	D3ZRK7
NP_001101769	ETS variant transcription factor 4	1306524	A0A0G2JX95, A0A8I6AQD4, E9PTJ2
NP_001101770	ADAM metallopeptidase domain 11	1307515	A0A1W2Q6C2, D4A6U1
NP_001101771	mitogen-activated protein kinase kinase kinase 14	1310487	D3ZTD1
NP_001101772	translational activator of cytochrome c oxidase I	1306784	B2RYT9
NP_001101773	sidekick cell adhesion molecule 2	1310397	A0A0G2K999, D3ZDA6
NP_001101774	golgi associated, gamma adaptin ear containing, ARF binding protein 3	1309553	A0A0G2JV04, A0A8I6APK2, A0A8L2R2B7, D3ZHG8
NP_001101775	SAP30 binding protein	1565537	A0A8I5ZR14, A0A8I5ZZ81, B5DFL5
NP_001101777	TEN1 subunit of CST complex	1311078	A0A0G2K213
NP_001101778	major facilitator superfamily domain containing 11	1307394	A0A8I5XVY6, A0A8I6AUJ5, D3ZEI8
NP_001101779	SEC14-like lipid binding 1	1563123	A0A8I5ZQG0, A0A8I5ZVS7, D3ZKG3
NP_001101780	centrosomal protein 131	1307745	D4AEL8
NP_001101781	MAPK regulated co-repressor interacting protein 1	1311925	A0A8I6A5G6, A0A8L2QPR3
NP_001101782	similar to DNA segment, Chr 16, ERATO Doi 472, expressed	1563888	A0A0G2KB02, A0A8I6ARB3
NP_001101783	interferon gamma receptor 2	1307532	D4A109
NP_001101784	RGD1562683	1562683	D3ZV08
NP_001101785	tetratricopeptide repeat domain 3	1308654	A0A8I5Y675, A0A8I5Y7R0, A0A8I6A4G2, A0A8I6ABF8, A0A8I6AR04, A0A8L2QUD9
NP_001101786	VPS26 endosomal protein sorting factor C	1306879	A0A8I6A639, A0A8I6A9V7, A0A8I6AQF2, E9PU42
NP_001101787	BOC cell adhesion associated, oncogene regulated	1304550	D4A0Z7
NP_001101788	ATPase H+ transporting V1 subunit A	1596464	A0A1W2Q641, D4A133
NP_001101789	RAB, member of RAS oncogene family-like 3	1306436	A0A8I5ZPU0, A0A8I6A072, A0A8I6AN77, D4A1C1
NP_001101790	tumor protein p63 regulated 1	1306226	D4A1Y2
NP_001101791	receptor (chemosensory) transporter protein 4	1306974	D4A238
NP_001101792	T-box transcription factor 1	1307734	D4A2E9
NP_001101793	transport and golgi organization 2 homolog	1310348	A0A0G2JXP4, A0A8I6G5G3, D3ZY86
NP_001101794	RAN binding protein 1	1310521	A0A8I5ZTU5, D4A2G9
